date,symbol,event,reason,shares,entry_day,put_retries,pending_calls,strike,lots,per_share,a,b,share_multiplier,position,cancelled_orders,action,pnl,spot,stop_level,entry_spot,need,forced_sales,fsp,qty,required_cash,free_cash,shortfall,realised_loss
2020-03-11,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,4100.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-12,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,4100.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-13,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,4100.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-16,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,4100.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-17,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,4100.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-18,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,4100.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-19,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,4100.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-20,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,4100.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-23,ONGC,dividend,,4100.0,,,,,,5.0,,,,,,,,,,,,,,,,,,
2020-03-23,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,4100.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-24,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,4100.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-25,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,4100.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-26,HINDALCO,covered_call_not_available,calls_skipped_no_eligible_strike,17500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-26,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,4100.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-26,VEDL,covered_call_not_available,calls_skipped_no_eligible_strike,24500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-26,,SKIP_NEW_PUT,uncovered_assigned_shares_calls_pending,,True,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
2020-03-27,TATASTEEL,covered_call_leftover_shares,"covered 4500, uncovered 3000",7500.0,,,,450.0,3.0,,,,,,,,,,,,,,,,,,,
2020-03-27,HINDALCO,covered_call_not_available,calls_skipped_no_eligible_strike,17500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-27,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,4100.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-27,VEDL,covered_call_not_available,calls_skipped_no_eligible_strike,24500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-30,TATASTEEL,covered_call_topup,"added 3000, covered 7500, uncovered 0",7500.0,,,,450.0,2.0,,,,,,,,,,,,,,,,,,,
2020-03-30,HINDALCO,covered_call_not_available,calls_skipped_no_eligible_strike,17500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-30,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,4100.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-30,VEDL,covered_call_not_available,calls_skipped_no_eligible_strike,24500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-31,HINDALCO,covered_call_not_available,calls_skipped_no_eligible_strike,17500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-31,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,4100.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-31,VEDL,covered_call_not_available,calls_skipped_no_eligible_strike,24500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-01,HINDALCO,covered_call_not_available,calls_skipped_no_eligible_strike,17500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-01,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,4100.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-01,VEDL,covered_call_not_available,calls_skipped_no_eligible_strike,24500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-03,HINDALCO,covered_call_not_available,calls_skipped_no_eligible_strike,17500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-03,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,4100.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-03,VEDL,covered_call_not_available,calls_skipped_no_eligible_strike,24500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-07,HINDALCO,covered_call_not_available,calls_skipped_no_eligible_strike,17500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-07,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,4100.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-07,VEDL,covered_call_not_available,calls_skipped_no_eligible_strike,24500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-08,HINDALCO,covered_call_not_available,calls_skipped_no_eligible_strike,17500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-08,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,4100.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-08,VEDL,covered_call_not_available,calls_skipped_no_eligible_strike,24500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-09,HINDALCO,covered_call_not_available,calls_skipped_no_eligible_strike,17500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-09,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,4100.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-09,VEDL,covered_call_not_available,calls_skipped_no_eligible_strike,24500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-13,HINDALCO,covered_call_not_available,calls_skipped_no_eligible_strike,17500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-13,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,4100.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-13,VEDL,covered_call_not_available,calls_skipped_no_eligible_strike,24500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-15,HINDALCO,covered_call_not_available,calls_skipped_no_eligible_strike,17500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-15,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,4100.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-15,VEDL,covered_call_not_available,calls_skipped_no_eligible_strike,24500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-16,HINDALCO,covered_call_not_available,calls_skipped_no_eligible_strike,17500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-16,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,4100.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-16,VEDL,covered_call_not_available,calls_skipped_no_eligible_strike,24500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-17,HINDALCO,covered_call_not_available,calls_skipped_no_eligible_strike,17500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-17,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,4100.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-17,VEDL,covered_call_not_available,calls_skipped_no_eligible_strike,24500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-20,HINDALCO,covered_call_not_available,calls_skipped_no_eligible_strike,17500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-20,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,4100.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-20,VEDL,covered_call_not_available,calls_skipped_no_eligible_strike,24500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-21,HINDALCO,covered_call_not_available,calls_skipped_no_eligible_strike,17500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-21,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,4100.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-21,VEDL,covered_call_not_available,calls_skipped_no_eligible_strike,24500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-22,HINDALCO,covered_call_not_available,calls_skipped_no_eligible_strike,17500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-22,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,4100.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-22,VEDL,covered_call_not_available,calls_skipped_no_eligible_strike,24500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-23,HINDALCO,covered_call_not_available,calls_skipped_no_eligible_strike,17500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-23,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,4100.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-23,VEDL,covered_call_not_available,calls_skipped_no_eligible_strike,24500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-24,HINDALCO,covered_call_not_available,calls_skipped_no_eligible_strike,17500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-24,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,4100.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-24,VEDL,covered_call_not_available,calls_skipped_no_eligible_strike,24500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-27,HINDALCO,covered_call_not_available,calls_skipped_no_eligible_strike,17500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-27,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,4100.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-27,VEDL,covered_call_not_available,calls_skipped_no_eligible_strike,24500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-28,HINDALCO,covered_call_not_available,calls_skipped_no_eligible_strike,17500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-28,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,4100.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-28,VEDL,covered_call_not_available,calls_skipped_no_eligible_strike,24500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-29,HINDALCO,covered_call_not_available,calls_skipped_no_eligible_strike,17500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-29,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,4100.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-29,VEDL,covered_call_not_available,calls_skipped_no_eligible_strike,24500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-30,HINDALCO,covered_call_not_available,calls_skipped_no_eligible_strike,17500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-30,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,4100.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-30,TATASTEEL,covered_call_not_available,calls_skipped_no_eligible_strike,7500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-30,VEDL,covered_call_not_available,calls_skipped_no_eligible_strike,24500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-04,HINDALCO,covered_call_not_available,calls_skipped_no_eligible_strike,17500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-04,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,4100.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-04,TATASTEEL,covered_call_not_available,calls_skipped_no_eligible_strike,7500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-04,VEDL,covered_call_not_available,calls_skipped_distance_cap,24500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-05,HINDALCO,covered_call_not_available,calls_skipped_no_eligible_strike,17500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-05,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,4100.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-05,TATASTEEL,covered_call_not_available,calls_skipped_no_eligible_strike,7500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-05,VEDL,covered_call_not_available,calls_skipped_distance_cap,24500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-06,HINDALCO,covered_call_not_available,calls_skipped_no_eligible_strike,17500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-06,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,4100.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-06,TATASTEEL,covered_call_not_available,calls_skipped_no_eligible_strike,7500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-06,VEDL,covered_call_not_available,calls_skipped_no_eligible_strike,24500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-07,HINDALCO,covered_call_not_available,calls_skipped_no_eligible_strike,17500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-07,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,4100.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-07,TATASTEEL,covered_call_not_available,calls_skipped_no_eligible_strike,7500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-07,VEDL,covered_call_not_available,calls_skipped_distance_cap,24500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-08,HINDALCO,covered_call_not_available,calls_skipped_no_eligible_strike,17500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-08,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,4100.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-08,TATASTEEL,covered_call_not_available,calls_skipped_no_eligible_strike,7500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-08,VEDL,covered_call_not_available,calls_skipped_no_eligible_strike,24500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-11,HINDALCO,covered_call_not_available,calls_skipped_no_eligible_strike,17500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-11,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,4100.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-11,TATASTEEL,covered_call_not_available,calls_skipped_no_eligible_strike,7500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-11,VEDL,covered_call_not_available,calls_skipped_no_eligible_strike,24500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-12,HINDALCO,covered_call_not_available,calls_skipped_no_eligible_strike,17500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-12,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,4100.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-12,TATASTEEL,covered_call_not_available,calls_skipped_no_eligible_strike,7500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-12,VEDL,covered_call_not_available,calls_skipped_no_eligible_strike,24500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-13,RELIANCE,corporate_action_value_adjustment,,,,,,,,,0.99061047,0.0,1.0,,,,,,,,,,,,,,,
2020-05-13,HINDALCO,covered_call_not_available,calls_skipped_no_eligible_strike,17500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-13,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,4100.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-13,TATASTEEL,covered_call_not_available,calls_skipped_no_eligible_strike,7500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-13,VEDL,covered_call_not_available,calls_skipped_distance_cap,24500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-14,HINDALCO,covered_call_not_available,calls_skipped_no_eligible_strike,17500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-14,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,4100.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-14,TATASTEEL,covered_call_not_available,calls_skipped_no_eligible_strike,7500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-14,VEDL,covered_call_not_available,calls_skipped_distance_cap,24500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-15,HINDALCO,covered_call_not_available,calls_skipped_no_eligible_strike,17500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-15,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,4100.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-15,TATASTEEL,covered_call_not_available,calls_skipped_no_eligible_strike,7500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-15,VEDL,covered_call_not_available,calls_skipped_distance_cap,24500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-18,HINDALCO,covered_call_not_available,calls_skipped_no_eligible_strike,17500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-18,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,4100.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-18,TATASTEEL,covered_call_not_available,calls_skipped_no_eligible_strike,7500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-18,VEDL,covered_call_not_available,calls_skipped_distance_cap,24500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-19,HINDALCO,covered_call_not_available,calls_skipped_no_eligible_strike,17500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-19,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,4100.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-19,TATASTEEL,covered_call_not_available,calls_skipped_no_eligible_strike,7500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-19,VEDL,covered_call_not_available,calls_skipped_distance_cap,24500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-20,HINDALCO,covered_call_not_available,calls_skipped_no_eligible_strike,17500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-20,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,4100.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-20,TATASTEEL,covered_call_not_available,calls_skipped_no_eligible_strike,7500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-20,VEDL,covered_call_not_available,calls_skipped_distance_cap,24500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-21,HINDALCO,covered_call_not_available,calls_skipped_no_eligible_strike,17500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-21,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,4100.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-21,TATASTEEL,covered_call_not_available,calls_skipped_no_eligible_strike,7500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-21,VEDL,covered_call_not_available,calls_skipped_distance_cap,24500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-22,HINDALCO,covered_call_not_available,calls_skipped_no_eligible_strike,17500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-22,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,4100.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-22,TATASTEEL,covered_call_not_available,calls_skipped_no_eligible_strike,7500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-22,VEDL,covered_call_not_available,calls_skipped_distance_cap,24500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-26,HINDALCO,covered_call_not_available,calls_skipped_no_eligible_strike,17500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-26,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,4100.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-26,TATASTEEL,covered_call_not_available,calls_skipped_no_eligible_strike,7500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-26,VEDL,covered_call_not_available,calls_skipped_distance_cap,24500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,HINDALCO,covered_call_not_available,calls_skipped_no_eligible_strike,17500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,4100.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,TATASTEEL,covered_call_not_available,calls_skipped_no_eligible_strike,7500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,VEDL,covered_call_not_available,calls_skipped_no_eligible_strike,24500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-28,HINDALCO,covered_call_not_available,calls_skipped_no_eligible_strike,17500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-28,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,4100.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-28,TATASTEEL,covered_call_not_available,calls_skipped_no_eligible_strike,7500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-28,VEDL,covered_call_not_available,calls_skipped_no_eligible_strike,24500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-28,,SKIP_NEW_PUT,uncovered_assigned_shares_calls_pending,,True,0.0,3.0,,,,,,,,,,,,,,,,,,,,,
2020-05-29,HINDALCO,covered_call_not_available,calls_skipped_no_eligible_strike,17500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-29,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,4100.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-29,TATASTEEL,covered_call_not_available,calls_skipped_no_eligible_strike,7500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-29,VEDL,covered_call_not_available,calls_skipped_no_eligible_strike,24500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-01,HINDALCO,covered_call_not_available,calls_skipped_no_eligible_strike,17500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-01,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,4100.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-01,TATASTEEL,covered_call_not_available,calls_skipped_no_eligible_strike,7500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-01,VEDL,covered_call_not_available,calls_skipped_no_eligible_strike,24500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-02,HINDALCO,covered_call_not_available,calls_skipped_no_eligible_strike,17500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-02,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,4100.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-02,TATASTEEL,covered_call_not_available,calls_skipped_no_eligible_strike,7500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-02,VEDL,covered_call_not_available,calls_skipped_no_eligible_strike,24500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-03,HINDALCO,covered_call_not_available,calls_skipped_no_eligible_strike,17500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-03,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,4100.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-03,TATASTEEL,covered_call_not_available,calls_skipped_no_eligible_strike,7500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-03,VEDL,covered_call_not_available,calls_skipped_no_eligible_strike,24500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-04,HINDALCO,covered_call_not_available,calls_skipped_no_eligible_strike,17500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-04,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,4100.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-04,TATASTEEL,covered_call_not_available,calls_skipped_no_eligible_strike,7500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-04,VEDL,covered_call_not_available,calls_skipped_no_eligible_strike,24500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-05,HINDALCO,covered_call_not_available,calls_skipped_no_eligible_strike,17500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-05,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,4100.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-05,TATASTEEL,covered_call_not_available,calls_skipped_no_eligible_strike,7500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-05,VEDL,covered_call_not_available,calls_skipped_no_eligible_strike,24500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-08,HINDALCO,covered_call_not_available,calls_skipped_no_eligible_strike,17500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-08,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,4100.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-08,TATASTEEL,covered_call_not_available,calls_skipped_no_eligible_strike,7500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-08,VEDL,covered_call_not_available,calls_skipped_no_eligible_strike,24500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-09,HINDALCO,covered_call_not_available,calls_skipped_no_eligible_strike,17500.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-09,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,4100.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-09,TATASTEEL,covered_call_not_available,calls_skipped_no_eligible_strike,7500.0,,,,,,,,,,,,,,,,,,,,,,,,
