date,symbol,event,reason,shares,entry_day,put_retries,pending_calls,strike,lots,per_share,a,b,share_multiplier,position,cancelled_orders,action,pnl,spot,stop_level,entry_spot,fsp,qty,required_cash,free_cash,shortfall,realised_loss
2020-01-30,ONGC,covered_call_not_available,calls_skipped_distance_cap,4100.0,,,,,,,,,,,,,,,,,,,,,,
2020-01-30,,SKIP_NEW_PUT,uncovered_assigned_shares_calls_pending,,True,0.0,3.0,,,,,,,,,,,,,,,,,,,
2020-01-31,,SKIP_NEW_PUT,uncovered_assigned_shares_calls_pending,,True,0.0,1.0,,,,,,,,,,,,,,,,,,,
2020-02-03,ONGC,covered_call_fill_failed,participation_or_margin,,,,,122.5,1.0,,,,,,,,,,,,,,,,,
2020-02-03,ONGC,covered_call_not_available,calls_skipped_distance_cap,4100.0,,,,,,,,,,,,,,,,,,,,,,
2020-02-04,ONGC,covered_call_not_available,calls_skipped_distance_cap,4100.0,,,,,,,,,,,,,,,,,,,,,,
2020-02-05,ONGC,covered_call_not_available,calls_skipped_distance_cap,4100.0,,,,,,,,,,,,,,,,,,,,,,
2020-02-27,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,4100.0,,,,,,,,,,,,,,,,,,,,,,
2020-02-27,,SKIP_NEW_PUT,uncovered_assigned_shares_calls_pending,,True,0.0,3.0,,,,,,,,,,,,,,,,,,,
2020-02-28,HINDALCO,covered_call_leftover_shares,"covered 7000, uncovered 7000",14000.0,,,,205.0,2.0,,,,,,,,,,,,,,,,,
2020-02-28,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,4100.0,,,,,,,,,,,,,,,,,,,,,,
2020-03-02,HINDALCO,covered_call_fill_failed,participation_or_margin,,,,,205.0,2.0,,,,,,,,,,,,,,,,,
2020-03-02,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,4100.0,,,,,,,,,,,,,,,,,,,,,,
2020-03-03,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,4100.0,,,,,,,,,,,,,,,,,,,,,,
2020-03-04,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,4100.0,,,,,,,,,,,,,,,,,,,,,,
2020-03-05,VEDL,dividend,,17500.0,,,,,,3.9,,,,,,,,,,,,,,,,
2020-03-05,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,4100.0,,,,,,,,,,,,,,,,,,,,,,
2020-03-06,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,4100.0,,,,,,,,,,,,,,,,,,,,,,
2020-03-09,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,4100.0,,,,,,,,,,,,,,,,,,,,,,
2020-03-11,ONGC,covered_call_not_available,calls_skipped_no_eligible_strike,4100.0,,,,,,,,,,,,,,,,,,,,,,
